,French Potato Prices,,Forecast
1,1180,,1761.09877
2,1280,,1753.73704
3,1290,,1746.80411
4,1240,,1740.275
5,970,,1734.12619
6,1080,,1728.33553
7,880,,1722.88215
8,790,,1717.74642
9,890,,1712.90982
10,990,,1708.35494
11,950,,1704.06537
12,1030,,1700.02565
13,840,,
14,950,,
15,1070,,
16,910,,
17,910,,
18,950,,
19,880,,
20,920,,
21,1050,,
22,1130,,
23,1030,,
24,1140,,
25,1170,,
26,1120,,
27,1220,,
28,1360,,
29,1420,,
30,1140,,
31,1060,,
32,840,,
33,840,,
34,990,,
35,1010,,
36,1010,,
37,1050,,
38,1050,,
39,1210,,
40,1240,,
41,1210,,
42,1250,,
43,1060,,
44,940,,
45,1070,,
46,1190,,
47,1050,,
48,1200,,
49,1260,,
50,1000,,
51,1280,,
52,1330,,
53,1200,,
54,1210,,
55,1270,,
56,1520,,
57,1560,,
58,1680,,
59,1370,,
60,980,,
61,900,,
62,800,,
63,1210,,
64,1330,,
65,1510,,
66,1640,,
67,1600,,
68,1630,,
69,1520,,
70,1870,,
71,1660,,
72,1130,,
73,1160,,
74,1160,,
75,1220,,
76,1230,,
77,1480,,
78,1460,,
79,1250,,
80,1460,,
81,1370,,
82,1610,,
83,1420,,
84,1240,,
85,1350,,
86,1510,,
87,1560,,
88,1480,,
89,1530,,
90,1610,,
91,1800,,
92,1670,,
93,1490,,
94,1560,,
95,1490,,
96,1540,,
97,1510,,
98,1550,,
99,1740,,
100,1760,,
101,1620,,
102,1530,,
103,1560,,
104,1400,,
105,1280,,
106,1190,,
107,1130,,
108,1370,,
109,1580,,
110,1550,,
111,1450,,
112,1600,,
113,1600,,
114,1470,,
115,1640,,
116,1430,,
117,1410,,
118,1540,,
119,1520,,
120,1490,,
121,1860,,
122,2010,,
123,2030,,
124,1870,,
125,1600,,
126,1620,,
127,1650,,
128,1750,,
129,2010,,
130,1950,,
131,1960,,
132,1930,,
133,2130,,
134,2090,,
135,2250,,
136,2490,,
137,2100,,
138,1950,,
139,1830,,
140,1570,,
141,1900,,
142,2110,,
143,2200,,
144,2300,,
145,2420,,
146,2750,,
147,2690,,
148,2720,,
149,2400,,
150,2080,,
151,2090,,
152,2150,,
153,2260,,
154,2240,,
155,2330,,
156,2210,,
157,2440,,
158,2810,,
159,2810,,
160,2800,,
161,2900,,
162,2500,,
163,2630,,
164,2550,,
165,2400,,
166,2520,,
167,2670,,
168,2790,,
169,2970,,
170,3180,,
171,3190,,
172,3040,,
173,2780,,
174,2300,,
175,2260,,
176,1990,,
177,2220,,
178,2600,,
179,2870,,
180,2890,,
181,2950,,
182,2890,,
183,2690,,
184,2420,,
185,2200,,
186,1830,,
